"paper_id","cs_m1","n_experts_m1","first_expert_date_m1","last_expert_date_m1","cs_m2","n_experts_m2","first_expert_date_m2","last_expert_date_m2","cs_m3","n_experts_m3","first_expert_date_m3","last_expert_date_m3","cs_m4","n_experts_m4","first_expert_date_m4","last_expert_date_m4","cs_m5","n_experts_m5","first_expert_date_m5","last_expert_date_m5","cs_m6","n_experts_m6","first_expert_date_m6","last_expert_date_m6","cs_m7","n_experts_m7","first_expert_date_m7","last_expert_date_m7","cs_m8","n_experts_m8","first_expert_date_m8","last_expert_date_m8","cs_m9","n_experts_m9","first_expert_date_m9","last_expert_date_m9","cs_m10","n_experts_m10","first_expert_date_m10","last_expert_date_m10","cs_m11","n_experts_m11","first_expert_date_m11","last_expert_date_m11","cs_m12","n_experts_m12","first_expert_date_m12","last_expert_date_m12"
"0lAL",0.71,7,"2020-01-31","2020-04-26",0.753431462103131,7,"2020-01-31","2020-04-26",0.817934564010755,7,"2020-01-31","2020-04-26",0.846,21,"2020-02-03","2020-02-09",0.903308898654758,21,"2020-02-03","2020-02-09",0.798,21,"2020-02-03","2020-02-09",0.802116883667532,21,"2020-02-03","2020-02-09",0.871320917452598,7,"2020-01-31","2020-04-26",0.702,21,"2020-02-03","2020-02-09",0.863765922844135,7,"2020-01-31","2020-04-26",0.724761904761905,21,"2020-02-03","2020-02-09",0.8,0,NA,NA
"0m1Z",0.58482385,15,"2020-07-21","2020-08-16",0.519428969533613,15,"2020-07-21","2020-08-16",0.484516650753944,15,"2020-07-21","2020-08-16",0.502,25,"2020-07-27","2020-08-02",0.362431961127933,25,"2020-07-27","2020-08-02",0.498,25,"2020-07-27","2020-08-02",0.522093155830342,25,"2020-07-27","2020-08-02",0.32699161298288,15,"2020-07-21","2020-08-16",0.542,25,"2020-07-27","2020-08-02",0.443142672921004,15,"2020-07-21","2020-08-16",0.5592,25,"2020-07-27","2020-08-02",0.4,0,NA,NA
"0mjl",0.85999995,13,"2020-06-20","2020-07-18",0.847636113169194,13,"2020-06-20","2020-07-18",0.894949223389699,13,"2020-06-20","2020-07-18",0.796,24,"2020-06-29","2020-07-06",0.876445407666606,24,"2020-06-29","2020-07-06",0.822,24,"2020-06-29","2020-07-06",0.809657090357621,24,"2020-06-29","2020-07-06",0.777203111553966,13,"2020-06-20","2020-07-18",0.748,24,"2020-06-29","2020-07-06",0.872173528790238,13,"2020-06-20","2020-07-18",0.75875,24,"2020-06-29","2020-07-06",0.8,0,NA,NA
"0mk",0.23000002,28,"2019-09-08","2019-10-02",0.218017477873006,28,"2019-09-08","2019-10-02",0.188048621115278,28,"2019-09-08","2019-10-02",0.284,6,"2019-09-09","2019-09-14",0.203880061459587,6,"2019-09-09","2019-09-14",0.284,6,"2019-09-09","2019-09-14",0.335562753892387,6,"2019-09-09","2019-09-14",0.244917486890782,28,"2019-09-08","2019-10-02",0.372,6,"2019-09-09","2019-09-14",0.207696489802064,28,"2019-09-08","2019-10-02",0.343333333333333,6,"2019-09-09","2019-09-14",0.3,0,NA,NA
"0O7Z",0.65000004,12,"2019-10-04","2019-10-27",0.521966808819846,12,"2019-10-04","2019-10-27",0.490252970931176,12,"2019-10-04","2019-10-27",0.436,13,"2019-10-07","2019-10-13",0.391481927379186,13,"2019-10-07","2019-10-13",0.436,13,"2019-10-07","2019-10-13",0.480303678075961,13,"2019-10-07","2019-10-13",0.238003601790902,12,"2019-10-04","2019-10-27",0.576,13,"2019-10-07","2019-10-13",0.482977516547737,12,"2019-10-04","2019-10-27",0.518461538461539,13,"2019-10-07","2019-10-13",0.3,0,NA,NA
"0Ov8",0.21000001,21,"2019-11-01","2019-11-24",0.286400989307342,21,"2019-11-01","2019-11-24",0.251562121765405,21,"2019-11-01","2019-11-24",0.31,18,"2019-11-04","2019-11-10",0.267514747586255,18,"2019-11-04","2019-11-10",0.334,18,"2019-11-04","2019-11-10",0.372122055048753,18,"2019-11-04","2019-11-10",0.257689749335535,21,"2019-11-01","2019-11-24",0.482,18,"2019-11-04","2019-11-10",0.284435242850512,21,"2019-11-01","2019-11-24",0.448888888888889,18,"2019-11-04","2019-11-10",0.3,0,NA,NA
"0P1Z",0.51,6,"2020-01-31","2020-04-26",0.508271423510399,6,"2020-01-31","2020-04-26",0.481936977125877,6,"2020-01-31","2020-04-26",0.53,17,"2020-02-01","2020-02-09",0.49284727250308,17,"2020-02-01","2020-02-09",0.53,17,"2020-02-01","2020-02-09",0.564086928772275,17,"2020-02-01","2020-02-09",0.400957449341036,6,"2020-01-31","2020-04-26",0.484,17,"2020-02-01","2020-02-09",0.446971906543438,6,"2020-01-31","2020-04-26",0.535294117647059,17,"2020-02-01","2020-02-09",0.4,0,NA,NA
"0P2r",0.72,12,"2020-07-21","2020-08-16",0.746701018593824,12,"2020-07-21","2020-08-16",0.753078787740972,12,"2020-07-21","2020-08-16",0.764,27,"2020-07-27","2020-08-02",0.669640532595195,27,"2020-07-27","2020-08-02",0.734,27,"2020-07-27","2020-08-02",0.768977930113951,27,"2020-07-27","2020-08-02",0.753981424084962,12,"2020-07-21","2020-08-16",0.722,27,"2020-07-27","2020-08-02",0.742453302031252,12,"2020-07-21","2020-08-16",0.727037037037037,27,"2020-07-27","2020-08-02",0.8,0,NA,NA
"0P4r",0.22,6,"2019-12-22","2020-01-26",0.240157123672149,6,"2019-12-22","2020-01-26",0.231122612718548,6,"2019-12-22","2020-01-26",0.49,19,"2020-01-06","2020-01-12",0.542443138605331,19,"2020-01-06","2020-01-12",0.454,19,"2020-01-06","2020-01-12",0.547572053095938,19,"2020-01-06","2020-01-12",0.312977186594912,6,"2019-12-22","2020-01-26",0.588,19,"2020-01-06","2020-01-12",0.428828767963865,6,"2019-12-22","2020-01-26",0.583333333333333,19,"2020-01-06","2020-01-12",0.3,0,NA,NA
"0PEZ",0.387,12,"2020-05-27","2020-06-22",0.419070379817513,12,"2020-05-27","2020-06-22",0.29577510844857,12,"2020-05-27","2020-06-22",0.41,25,"2020-06-01","2020-06-08",0.175055745099878,25,"2020-06-01","2020-06-08",0.302,25,"2020-06-01","2020-06-08",0.492961226158875,25,"2020-06-01","2020-06-08",0.234777882007115,12,"2020-05-27","2020-06-22",0.46,25,"2020-06-01","2020-06-08",0.317601969187074,12,"2020-05-27","2020-06-22",0.5,25,"2020-06-01","2020-06-08",0.3,0,NA,NA
"0PNZ",0.29999998,12,"2020-05-27","2020-06-22",0.334804082513351,12,"2020-05-27","2020-06-22",0.301115921888574,12,"2020-05-27","2020-06-22",0.172,27,"2020-06-01","2020-06-07",0.22747016343911,27,"2020-06-01","2020-06-07",0.218,27,"2020-06-01","2020-06-07",0.273955232539401,27,"2020-06-01","2020-06-07",0.346104062812726,12,"2020-05-27","2020-06-22",0.3,27,"2020-06-01","2020-06-07",0.229032473757495,12,"2020-05-27","2020-06-22",0.364444444444445,27,"2020-06-01","2020-06-07",0.3,0,NA,NA
"0PZl",0.82,7,"2020-01-31","2020-04-26",0.828238271799235,7,"2020-01-31","2020-04-26",0.884861966108399,7,"2020-01-31","2020-04-26",0.782,18,"2020-02-02","2020-02-09",0.840899125831192,18,"2020-02-02","2020-02-09",0.782,18,"2020-02-02","2020-02-09",0.580656852269948,18,"2020-02-02","2020-02-09",0.789578637637431,7,"2020-01-31","2020-04-26",0.55,18,"2020-02-02","2020-02-09",0.831526179414829,7,"2020-01-31","2020-04-26",0.601111111111111,18,"2020-02-02","2020-02-09",0.8,0,NA,NA
"0PzZ",0.9,12,"2019-12-22","2020-01-24",0.876059478964183,12,"2019-12-22","2020-01-24",0.918470097906238,12,"2019-12-22","2020-01-24",0.89,16,"2020-01-06","2020-01-12",0.926974889346635,16,"2020-01-06","2020-01-12",0.896,16,"2020-01-06","2020-01-12",0.878940650720164,16,"2020-01-06","2020-01-12",0.789578637637431,12,"2019-12-22","2020-01-24",0.72,16,"2020-01-06","2020-01-12",0.911290681723861,12,"2019-12-22","2020-01-24",0.8,16,"2020-01-06","2020-01-12",0.8,0,NA,NA
"0qY1",0.63,8,"2019-12-22","2020-01-26",0.614358336393217,8,"2019-12-22","2020-01-26",0.710438956542588,8,"2019-12-22","2020-01-26",0.692,20,"2020-01-06","2020-01-12",0.712232693675446,20,"2020-01-06","2020-01-12",0.692,20,"2020-01-06","2020-01-12",0.747538050344912,20,"2020-01-06","2020-01-12",0.774282775640728,8,"2019-12-22","2020-01-26",0.63,20,"2020-01-06","2020-01-12",0.731258816201251,8,"2019-12-22","2020-01-26",0.6615,20,"2020-01-06","2020-01-12",0.8,0,NA,NA
"0Rdr",0.1,17,"2019-09-08","2019-10-02",0.27072683068106,17,"2019-09-08","2019-10-02",0.248734593427701,17,"2019-09-08","2019-10-02",0.534,8,"2019-09-10","2019-09-15",0.638658285858521,8,"2019-09-10","2019-09-15",0.534,8,"2019-09-10","2019-09-15",0.335450489864355,8,"2019-09-10","2019-09-15",0.324821825120477,17,"2019-09-08","2019-10-02",0.518,8,"2019-09-10","2019-09-15",0.342367378963083,17,"2019-09-08","2019-10-02",0.492857142857143,8,"2019-09-10","2019-09-15",0.3,0,NA,NA
"0rjZ",0.84999996,6,"2019-11-01","2019-11-19",0.84999996,6,"2019-11-01","2019-11-19",0.920227897360883,6,"2019-11-01","2019-11-19",0.814,21,"2019-11-04","2019-11-10",0.922327741898885,21,"2019-11-04","2019-11-10",0.816,21,"2019-11-04","2019-11-10",0.733424757258827,21,"2019-11-04","2019-11-10",0.844816811610754,6,"2019-11-01","2019-11-19",0.734,21,"2019-11-04","2019-11-10",0.878965536454436,6,"2019-11-01","2019-11-19",0.733809523809524,21,"2019-11-04","2019-11-10",0.8,0,NA,NA
"0RL8",0.63,11,"2019-09-08","2019-09-28",0.675831776973449,11,"2019-09-08","2019-09-28",0.582851130080597,11,"2019-09-08","2019-09-28",0.422,8,"2019-09-09","2019-09-15",0.297922438566105,8,"2019-09-09","2019-09-15",0.422,8,"2019-09-09","2019-09-15",0.398924018204982,8,"2019-09-09","2019-09-15",0.267305851690256,11,"2019-09-08","2019-09-28",0.394,8,"2019-09-09","2019-09-15",0.493767593317725,11,"2019-09-08","2019-09-28",0.4325,8,"2019-09-09","2019-09-15",0.3,0,NA,NA
